Location,Amount,Type
Palanan,0,rural
Quezon,0,universal
Quezon,0,thrift
Quezon,0,rural
Quirino,0,universal
Quirino,0,thrift
Quirino,0,rural
Ramon,0,universal
Ramon,0,thrift
Ramon,0,rural
Reina Mercedes,0,universal
Reina Mercedes,0,thrift
Reina Mercedes,0,rural
Roxas,5,universal
Roxas,0,thrift
Roxas,0,rural
San Agustin,0,universal
San Agustin,0,thrift
San Agustin,0,rural
San Guillermo,0,universal
San Guillermo,0,thrift
San Guillermo,0,rural
San Isidro,1,universal
San Isidro,0,thrift
San Isidro,0,rural
San Manuel (Callang),0,universal
San Manuel (Callang),0,thrift
San Manuel (Callang),0,rural
San Mariano,0,universal
San Mariano,0,thrift
San Mariano,0,rural
San Mateo,1,universal
San Mateo,1,thrift
San Mateo,0,rural
San Pablo,0,universal
San Pablo,0,thrift
San Pablo,0,rural
Santa Maria,0,universal
Santa Maria,0,thrift
Santa Maria,0,rural
Santiago City,21,universal
Santiago City,4,thrift
Santiago City,0,rural
Santo Tomas,0,universal
Santo Tomas,0,thrift
Santo Tomas,0,rural
Tumauini,1,universal
Tumauini,0,thrift
Tumauini,0,rural
Alfonso Castaneda,0,universal
Alfonso Castaneda,0,thrift
Alfonso Castaneda,0,rural
Ambaguio,0,universal
Ambaguio,0,thrift
Ambaguio,0,rural
Aritao,0,universal
Aritao,0,thrift
Aritao,0,rural
Bagabag,0,universal
Bagabag,0,thrift
Bagabag,0,rural
Bambang,3,universal
Bambang,1,thrift
Bambang,0,rural
Bayombong (Capital),3,universal
Bayombong (Capital),0,thrift
Bayombong (Capital),0,rural
Diadi,0,universal
Diadi,0,thrift
Diadi,0,rural
Dupax Del Norte,0,universal
Dupax Del Norte,0,thrift
Dupax Del Norte,0,rural
Dupax Del Sur,0,universal
Dupax Del Sur,0,thrift
Dupax Del Sur,0,rural
Kasibu,0,universal
Kasibu,0,thrift
Kasibu,0,rural
Kayapa,0,universal
Kayapa,0,thrift
Kayapa,0,rural
Quezon,0,universal
Quezon,0,thrift
Quezon,0,rural
Santa Fe,0,universal
Santa Fe,0,thrift
Santa Fe,0,rural
Solano,14,universal
Solano,0,thrift
Solano,1,rural
Villa Verde (Ibung),0,universal
Villa Verde (Ibung),0,thrift
Villa Verde (Ibung),0,rural
Aglipay,0,universal
Aglipay,0,thrift
Aglipay,0,rural
Cabarroquis (Capital),3,universal
Cabarroquis (Capital),0,thrift
Cabarroquis (Capital),0,rural
Diffun,0,universal
Diffun,0,thrift
Diffun,0,rural
Maddela,0,universal
Maddela,0,thrift
Maddela,0,rural
Nagtipunan,0,universal
Nagtipunan,0,thrift
Nagtipunan,0,rural
Saguday,0,universal
Saguday,0,thrift
Saguday,0,rural
