region,airport,airline_operation,january,february,march,april,may,june,july,august,september,october,november,december,total,
III (Central Luzon),Subic,Domestic,-,-,-,-,-,-,-,-,-,-,-,-,0,
III (Central Luzon),Subic,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
III (Central Luzon),Diosdado Macapagal International Airport,International,-,-,-,-,-,-,-,-,-,-,-,-,0,
III (Central Luzon),Diosdado Macapagal International Airport,Domestic,-,-,-,-,-,-,-,-,-,-,-,-,0,
III (Central Luzon),Diosdado Macapagal International Airport,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
III (Central Luzon),Diosdado Macapagal International Airport,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,
III (Central Luzon),Plaridel,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
NCR,NAIA,International,28470260,27842930,33027910,27451300,27483280,25516470,25045010,25228880,24165130,25995590,24460090,24458340,319145190,
NCR,NAIA,Domestic,11331030,11204110,8383540,23480630,24535060,25013440,28699570,29481140,29217650,18143490,26348610,29367500,265205770,
NCR,NAIA,G. Aviation,32340,32420,18940,15470,16860,9160,14010,10290,20200,46410,9770,22380,248250,
IV-A (CALABARZON)),Alabat,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
III (Central Luzon),Baler,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
IV-B (MIMAROPA),Busuanga,Air Philippine,77132,79320,79748,113244,102289,102091,54762,60512,48341,49771,41384,57010,865604,
IV-B (MIMAROPA),Busuanga,Cebu Pacific or Cebgo,127556,115919,124017,119060,70053,58025,72661,85314,69822,75557,75476,97641,1091101,
IV-B (MIMAROPA),Busuanga,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0,
IV-B (MIMAROPA),Busuanga,Sky Jet,1669,-,1538,20742,23065,9729,5652,8799,5949,11362,12511,29110,130126,
IV-B (MIMAROPA),Busuanga,Chemtrad,-,-,-,-,-,-,-,-,-,-,-,-,0,
IV-B (MIMAROPA),Busuanga,Air Juan,2064,15535,2635,3182,2250,1903,1064,1294,1102,1804,2003,1583,36419,
IV-B (MIMAROPA),Busuanga,G. Aviation,103270,102724,23163,22161,41139,20680,43403,38827,56162,54964,22248,52272,581013,
IV-B (MIMAROPA),Busuanga,Military,-,-,-,-,-,-,-,-,-,-,-,-,0,
IV-B (MIMAROPA),Calapan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
IV-B (MIMAROPA),Cuyo,Seair,-,-,-,-,-,-,-,-,-,-,-,-,0,
IV-B (MIMAROPA),Cuyo,G. Aviation,-,12344,18913,-,-,-,-,-,-,-,8286,7796,47339,
IV-A (CALABARZON)),Jomalig,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
IV-B (MIMAROPA),Lubang,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
IV-B (MIMAROPA),Mamburao,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
IV-B (MIMAROPA),Marinduque,Zest Air,-,-,-,-,-,-,-,-,-,-,-,-,0,
IV-B (MIMAROPA),Marinduque,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0,
IV-B (MIMAROPA),Pto.Princesa International,Philippine Airlines,-,-,13985,21098,-,19747,20753,12928,16521,15552,12726,304,133614,
IV-B (MIMAROPA),Puerto Princesa (Domestic) ,Philippine Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0,
